round:437	time:0.05196547008863003
round:438	time:0.02199316501779106
round:439	time:0.04548275755442735
round:440	time:0.06558424892503177
round:441	time:0.014753664039691151
round:442	time:0.01590693033828879
round:443	time:0.006494293742470055
round:444	time:0.004131045222322376
round:445	time:0.049441639503375254
round:446	time:0.06204433905745981
round:447	time:0.036043258192437755
round:448	time:0.019169548189430223
round:449	time:0.06778644332992559
round:450	time:0.0972201095642379
round:451	time:0.01435566188495582
round:452	time:0.037016125972113616
round:453	time:0.059000084716118326
round:454	time:0.02514778797913296
round:455	time:0.050099254036057556
round:456	time:0.02808202151345491
round:457	time:0.08606563739494529
round:458	time:0.03851534915981328
round:459	time:0.044491581730230094
round:460	time:0.019937936015725133
round:461	time:0.11175261041812709
round:462	time:0.04411088964646859
round:463	time:0.029100704433573314
round:464	time:0.027296742714933497
round:465	time:0.04186906850338051
round:466	time:0.04002400132976557
round:467	time:0.061242208584820254
round:468	time:0.04647280780894592
round:469	time:0.0606600353726621
round:470	time:0.05166785832863461
round:471	time:0.0149256627800426
round:472	time:0.043203859928495326
round:473	time:0.05255691134908604
round:474	time:0.02036130149490881
round:475	time:0.009744401234056265
round:476	time:0.06606453829017278
round:477	time:0.015435887704881596
round:478	time:0.050099254036057556
round:479	time:0.102167243566058
round:480	time:0.020922775389614935
round:481	time:0.048284410257335715
round:482	time:0.02219267452399496
round:483	time:0.04703262046012845
round:484	time:0.05673453341563976
round:485	time:0.0447106174787757
round:486	time:0.06712628156314926
round:487	time:0.039784163462110625
round:488	time:0.016594291222109907
round:489	time:0.018855193397652414
round:490	time:0.047350801882716245
round:491	time:0.03676755805762688
round:492	time:0.04350991095703202
round:493	time:0.028241176142542894
round:494	time:0.0273959135596399
round:495	time:0.03915234500982141
round:496	time:0.022097456037738387
round:497	time:0.020652736907731294
round:498	time:0.015435887704881596
round:499	time:0.05755913564865667
round:500	time:0.033809008843615214
round:501	time:0.011453216434782513
round:502	time:0.01645725836075452
round:503	time:0.021945174665702515
round:504	time:0.031818466056331
round:505	time:0.021761197891027134
round:506	time:0.016882024409911486
round:507	time:0.021629532002524564
round:508	time:0.049657246849771144
round:509	time:0.006637995014826514
round:510	time:0.02413171599860376
round:511	time:0.10900231889087178
round:512	time:0.04994039224467289
round:513	time:0.03850890903630135
round:514	time:0.10769273717802795
round:515	time:0.011278109537452435
round:516	time:0.02127588666422125
round:517	time:0.022400038699442053
round:518	time:0.0237746241988208
round:519	time:0.04283703553492659
round:520	time:0.02917418264102126
round:521	time:0.04442179008727418
round:522	time:0.013305571305865498
round:523	time:0.0278843711909787
round:524	time:0.009629919718241663
round:525	time:0.03414540461838063
round:526	time:0.02635315983321513
round:527	time:0.07511783307087594
round:528	time:0.015032056966496453
round:529	time:0.04618547331688209
round:530	time:0.009440742422496467
round:531	time:0.04651892342347089
round:532	time:0.023398958210721677
round:533	time:0.07886498041818775
round:534	time:0.023502593650816358
round:535	time:0.06649721132755322
round:536	time:0.05077998714137889
round:537	time:0.0644386546599679
round:538	time:0.00908167991323296
round:539	time:0.06328633158176745
round:540	time:0.031492529116563535
round:541	time:0.05223069317123957
round:542	time:0.015617134681177267
round:543	time:0.030094499692577343
round:544	time:0.026709123139922273
round:545	time:0.05041892901327536
round:546	time:0.03754217609271453
round:547	time:0.03603523392987977
round:548	time:0.006849866451547327
round:549	time:0.03177472155103544
round:550	time:0.009738032104713247
round:551	time:0.046279862111422154
round:552	time:0.017888720167540614
round:553	time:0.008815192248729889
round:554	time:0.01117140742999251
round:555	time:0.10130043440420052
round:556	time:0.017841095953579193
round:557	time:0.02869863778045276
round:558	time:0.03051598518728143
round:559	time:0.008143127622309551
round:560	time:0.037268846065980084
round:561	time:0.06769937973442124
round:562	time:0.014079043836346835
round:563	time:0.023314335709149328
round:564	time:0.026020342705555387
round:565	time:0.0261860002138642
round:566	time:0.03309398601129661
round:567	time:0.04120486112624487
round:568	time:0.06729612714270997
round:569	time:0.05144466585287427
round:570	time:0.11068987196424829
round:571	time:0.03610513930923378
round:572	time:0.0278843711909787
round:573	time:0.027883353399199933
round:574	time:0.054442634497907885
round:575	time:0.03076542391970692
round:576	time:0.0654742678629902
round:577	time:0.0032734349330277566
round:578	time:0.01682085357193843
round:579	time:0.0698483944880096
round:580	time:0.02451564749615552
round:581	time:0.01886876277258328
round:582	time:0.03748469400659676
round:583	time:0.029694177553626914
round:584	time:0.016801485745603254
round:585	time:0.021505366400216507
round:586	time:0.006463267354648098
round:587	time:0.05384114957737294
round:588	time:0.025960117134657876
round:589	time:0.001259526994180976
round:590	time:0.04035641690675895
round:591	time:0.019649847403737732
round:592	time:0.11068987196424829
round:593	time:0.04165778108638616
round:594	time:0.040886325063851967
round:595	time:0.0020390292381532453
round:596	time:0.05384114957737294
round:597	time:0.0880524920680547
round:598	time:0.024332427416929658
round:599	time:0.061808073139987416
round:600	time:0.03669263168534498
round:601	time:0.007406587163440068
round:602	time:0.015756721781645687
round:603	time:0.018563311979053358
round:604	time:0.043752775404447455
round:605	time:0.008407318822706908
round:606	time:0.025805364850116978
round:607	time:0.023279381106667538
round:608	time:0.021597206801804755
round:609	time:0.028685015276326734
round:610	time:0.07316087289776489
round:611	time:0.012550294587921064
round:612	time:0.08878081499308638
round:613	time:0.047628413302926026
round:614	time:0.019594536550708308
round:615	time:0.02542720931532377
round:616	time:0.0075353029128888945
round:617	time:0.04263242564371943
round:618	time:0.03712751615786551
round:619	time:0.03851494844759757
round:620	time:0.045075868473412224
round:621	time:0.03433088677498509
round:622	time:0.06583018846686421
round:623	time:0.04509918797074308
round:624	time:0.050769318364740794
round:625	time:0.017698819320982568
round:626	time:0.022349686168414457
round:627	time:0.023307237361615746
round:628	time:0.03147612509084898
round:629	time:0.03919605206196194
round:630	time:0.08161866894778626
round:631	time:0.009552956816498629
round:632	time:0.009278634481939243
round:633	time:0.006334082144966488
round:634	time:0.015196681597450431
round:635	time:0.00604495947029495
round:636	time:0.08099615834416844
round:637	time:0.007427786226196423
round:638	time:0.04344284485103794
round:639	time:0.009692623772752647
round:640	time:0.011345289449563882
round:641	time:0.008371603391422074
round:642	time:0.03623946414600866
round:643	time:0.019485371864045437
round:644	time:0.016657205157797558
round:645	time:0.018608111658373522
round:646	time:0.012963360967114588
round:647	time:0.02222266437693434
round:648	time:0.0166674462878831
round:649	time:0.05183549261977582
round:650	time:0.042618223298471314
round:651	time:0.055855665750943945
round:652	time:0.021833472663259267
round:653	time:0.05942973767784756
round:654	time:0.00801676137838964
round:655	time:0.009900469559253992
round:656	time:0.0365096456499532
round:657	time:0.00858774442917962
round:658	time:0.11012420685136547
round:659	time:0.02697810338795813
round:660	time:0.0513777574005759
round:661	time:0.03650479095625257
round:662	time:0.023164792328192987
round:663	time:0.01943583720161683
round:664	time:0.05915544810908923
round:665	time:0.03923101985770435
round:666	time:0.021651346441842474
round:667	time:0.06149221162484271
round:668	time:0.017748679484602025
round:669	time:0.04221611658468853
round:670	time:0.03971537237063062
round:671	time:0.052869362398909846
round:672	time:0.0507701226442664
round:673	time:0.031184302595437904
round:674	time:0.00509248604766864
round:675	time:0.05955470216325859
round:676	time:0.03478055618449467
round:677	time:0.029082594873842404
round:678	time:0.04167239904204106
round:679	time:0.020484264340200745
round:680	time:0.0027137228928662523
round:681	time:0.026997825046071944
round:682	time:0.06810196709683995
round:683	time:0.017017879407527733
round:684	time:0.07514639081926856
round:685	time:0.0027459876997525247
round:686	time:0.04813596441208273
round:687	time:0.029425967197036954
round:688	time:0.022752858087603734
round:689	time:0.026848383198418473
round:690	time:0.007819082139909358
round:691	time:0.0229638515672119
round:692	time:0.02946562640141475
